title,url,discounted_price,original_price
Temperature Sensor Mini Digital LCD Thermometer Hygrometer EDT-561407,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/temperature-sensor-mini-digital-lcd-thermometer-hygrometer-p-178980.html,$1.92,$5.78 
K2 Colorful Screen Heart Rate Smart Bracelet IP68 Waterproof Long Standby Time E-542111-C78,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/k2-colorful-screen-heart-rate-smart-bracelet-ip68-waterproof-long-standby-time-p-176976.html,$29.64,$61.32 
Euro Plug 3-USB Ports Smart Fast Charger Power Adapter EPACG-548181,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/euro-plug-3-usb-ports-smart-fast-charger-power-adapter-p-174743.html,$2.16,$4.83 
32GB Class 10 Micro SD Card with Card Adapter - Yellow EFM-558763,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/32gb-class-10-micro-sd-card-with-card-adapter-yellow-p-177911.html,$4.90,$7.00 
Titan Gel Big Dick Herbal Enlargement NMS-546676,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/titan-gel-big-dick-herbal-enlargement-p-174285.html,$3.09,$4.53 
Type-C to USB 3.0 Type A OTG Adapter ECACR-562051,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/type-to-usb-30-type-a-otg-adapter-p-178935.html,$0.90,$6.61 
ESTRELLA  64G USB2.0 High Speed Mini Flash Drive Waterproof USB EUD-555517,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/estrella-64g-usb20-high-speed-mini-flash-drive-waterproof-usb-p-176843.html,$10.64,$19.49 
Multi-functional Ultralight Folding Portable Credit Card Knives S-523865,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/multi-functional-ultralight-folding-portable-credit-card-knives-p-163478.html,$0.95,$2.88 
Stainless Steel Digital Alarm Stopwatch Wrist Watch Excellent Wristwatch WWT-557947,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/stainless-steel-digital-alarm-stopwatch-wrist-watch-excellent-wristwatch-p-177604.html,$2.81,$6.22 
Smart Swab Ear Wax Removal Swab Cleaner System w 16 Replacement Heads HHI-558029,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/smart-swab-ear-wax-removal-swab-cleaner-system-w-16-replacement-heads-p-177811.html,$2.34,$8.99 
1/2/4 Set of 25-in-1 Screwdrivers with Storage Head Screwdriver Repair Tool Set HHI-530590,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/124-set-of-25-in-1-screwdrivers-with-storage-head-screwdriver-repair-tool-set-p-165953.html,$4.64,$6.30 
360 WiFi 3 Generation Wireless Wifi Repeater EDT-561481,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/360-wifi-3-generation-wireless-wifi-repeater-p-178760.html,$2.60,$6.89 
Universal 3.5mm IR Remote Control EPA-557485,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/universal-35mm-ir-remote-control-p-178098.html,$1.16,$4.76 
1/4/10 pcs 3M VHB Double Sided Adhesive Acrylic Foam Tape Scotch Tape RTH-545063,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/1410-pcs-3m-vhb-double-sided-adhesive-acrylic-foam-tape-scotch-tape--p-173455.html,$1.87,$3.48 
Tea Strainer Silicone Coffee & Tea Sets Teapot Accessories Tea tool Tea Infuse HHI-561835,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/tea-strainer-silicone-coffee-tea-sets-teapot-accessories-tea-tool-tea-infuse-p-179101.html,$2.40,$5.95 
